Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
251620 Sousa;23;118;181;151;164;145;176;174;208;202;150;129;106;127;103;92;63;105
251630 Sumé;1;4;19;11;12;15;13;12;21;14;21;12;13;14;2;5;9;17
251640 Campo de Santana;0;2;1;1;0;1;4;2;1;7;2;0;0;0;1;0;0;0
251650 Taperoá;2;7;9;12;5;8;7;8;12;5;8;6;13;11;10;7;5;9
251660 Tavares;1;2;2;4;1;2;3;2;3;3;2;1;0;3;2;0;0;2
251670 Teixeira;2;9;6;3;6;5;8;10;12;10;7;7;3;2;2;6;1;2
251675 Tenório;0;0;1;1;1;0;0;2;0;2;0;1;0;0;0;0;0;0
251680 Triunfo;0;3;3;3;1;1;1;8;2;4;2;3;1;0;1;0;0;0
251690 Uiraúna;4;19;14;21;25;12;16;28;33;24;20;4;16;15;7;14;7;16
251700 Umbuzeiro;0;6;3;5;5;1;5;4;6;12;4;6;6;5;9;6;3;2
251710 Várzea;1;1;0;0;2;1;2;1;2;0;0;2;1;1;1;1;0;0
251720 Vieirópolis;0;5;1;1;1;0;1;0;0;0;0;2;0;0;0;1;0;1
251740 Zabelê;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0
260005 Abreu e Lima;117;618;790;635;504;588;745;910;1027;941;694;445;320;232;179;95;67;91
260010 Afogados da Ingazeira;4;23;32;30;31;22;24;42;54;38;32;17;18;23;18;17;7;9
260020 Afrânio;6;13;21;26;17;13;17;19;38;33;32;21;25;10;9;3;6;3
260030 Agrestina;4;39;36;33;27;18;37;44;47;33;21;20;21;13;7;7;1;5
260040 Água Preta;2;2;7;5;4;1;3;6;9;8;4;5;5;6;7;3;0;5
260050 Águas Belas;1;20;20;24;17;16;12;29;30;32;28;31;9;12;7;6;6;7
260060 Alagoinha;1;7;5;10;7;4;10;9;18;7;8;5;7;0;7;3;3;5
260070 Aliança;14;60;47;34;29;54;86;71;54;25;20;17;13;13;8;7;3;5
260080 Altinho;6;28;33;35;24;28;36;44;61;54;27;34;21;16;15;12;5;7
260090 Amaraji;4;5;5;9;9;11;12;15;10;10;9;14;11;8;5;5;1;2
260100 Angelim;2;9;20;20;14;12;15;11;10;23;17;12;1;2;3;4;3;1
260105 Araçoiaba;7;21;18;14;14;20;38;30;29;21;13;10;4;5;3;3;0;0
260110 Araripina;5;51;45;49;36;43;79;97;98;75;43;38;20;32;28;20;26;22
260120 Arcoverde;25;130;209;219;207;161;194;258;298;286;227;160;113;110;102;88;63;114
260130 Barra de Guabiraba;0;6;6;7;4;5;3;8;5;5;5;6;2;2;2;1;3;1
260140 Barreiros;5;17;21;23;23;31;47;38;46;32;32;35;22;18;16;14;10;26
260150 Belém de Maria;0;3;3;4;2;1;0;5;6;0;1;2;3;2;1;1;1;1
260160 Belém de São Francisco;0;4;13;11;8;7;5;13;10;16;13;15;1;3;9;6;3;10
260170 Belo Jardim;54;198;224;212;163;194;284;331;321;318;242;184;142;145;91;78;50;75
260180 Betânia;0;0;0;1;1;0;4;0;3;1;2;0;1;2;0;0;1;0
260190 Bezerros;11;71;105;95;83;78;120;160;168;126;107;107;80;62;48;47;22;48
260200 Bodocó;2;8;12;15;7;7;11;20;31;20;11;11;7;5;9;3;4;8
260210 Bom Conselho;7;51;66;62;45;37;40;90;68;89;74;55;46;32;20;24;15;27
260220 Bom Jardim;3;7;10;14;5;13;12;16;13;22;19;3;5;4;1;3;4;4
260230 Bonito;28;71;97;67;119;311;198;128;111;64;48;41;35;45;33;28;10;20
260240 Brejão;0;4;5;8;10;4;6;6;8;16;13;7;4;4;7;3;1;3
260250 Brejinho;0;1;1;0;0;1;0;2;0;0;1;1;1;0;0;1;0;0
260260 Brejo da Madre de Deus;10;46;67;52;49;42;59;76;82;69;39;46;39;27;20;6;11;11
260270 Buenos Aires;0;2;2;0;3;2;0;6;4;7;2;2;1;1;1;1;1;0
260280 Buíque;2;8;21;13;15;14;8;25;30;29;27;27;13;10;4;6;6;12
260290 Cabo de Santo Agostinho;310;1409;1950;1647;1380;1754;2105;2350;2460;2302;1586;973;609;335;222;149;107;149
260300 Cabrobó;4;12;24;33;31;21;16;37;48;47;43;49;52;55;34;23;7;16
260310 Cachoeirinha;4;21;20;16;11;9;17;16;25;22;11;11;6;9;5;4;3;2
260320 Caetés;1;8;6;9;4;5;7;10;12;6;6;4;2;3;2;1;1;3
260330 Calçado;0;1;1;2;3;3;1;1;1;2;1;3;1;2;1;1;0;0
260340 Calumbi;2;4;1;0;1;2;2;6;3;2;1;2;3;2;0;1;0;0
260345 Camaragibe;210;883;1221;1029;826;895;1293;1455;1624;1581;1290;919;731;518;440;373;305;344
