Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais
410773 Fernandes Pinheiro;3;11;16;7;9;18;21;14;11;6;3;8;4;1;0;1;0;0
410775 Figueira;1;15;14;16;11;9;15;19;18;20;10;13;8;12;9;6;10;18
410780 Floraí;5;37;42;36;37;35;54;66;55;56;45;53;35;45;38;48;25;47
410785 Flor da Serra do Sul;1;6;6;3;3;9;11;7;4;5;5;1;3;1;2;1;0;1
410790 Floresta;20;65;82;70;57;78;125;146;131;118;75;74;90;74;72;42;36;56
410800 Florestópolis;8;41;58;19;15;18;38;51;48;41;23;19;15;21;16;16;10;16
410810 Flórida;4;19;19;25;20;15;26;36;31;22;25;23;25;19;2;6;5;10
410820 Formosa do Oeste;5;26;9;14;19;16;28;26;40;21;15;18;13;15;8;10;9;8
410830 Foz do Iguaçu;457;2175;2768;2417;2132;2372;3205;3871;4189;4018;2954;2128;1759;1639;1323;1006;697;797
410832 Francisco Alves;7;21;22;13;16;40;63;41;38;36;28;9;12;4;7;2;2;0
410840 Francisco Beltrão;96;519;642;518;513;625;816;1032;1063;929;647;547;469;359;280;203;158;153
410845 Foz do Jordão;2;1;5;6;2;8;5;8;4;7;3;3;3;1;4;1;1;3
410850 General Carneiro;5;21;29;25;20;39;44;44;41;54;28;21;22;15;10;5;8;3
410855 Godoy Moreira;0;1;0;2;2;3;4;2;1;2;3;0;0;0;1;0;0;0
410860 Goioerê;20;84;115;89;75;87;145;175;183;140;127;97;96;85;77;73;43;59
410865 Goioxim;1;6;11;7;9;9;14;14;12;11;7;2;3;1;3;1;0;0
410870 Grandes Rios;2;13;16;7;5;5;12;17;16;11;6;8;10;5;4;5;2;3
410880 Guaíra;16;96;138;127;117;109;163;207;238;196;164;148;124;103;113;95;63;63
410890 Guairaçá;8;33;27;20;16;26;51;46;33;33;21;18;11;6;13;1;6;6
410895 Guamiranga;1;3;6;5;5;6;8;14;8;7;4;3;5;1;1;3;2;2
410900 Guapirama;4;12;12;10;6;5;11;18;17;9;6;9;7;6;3;3;3;3
410910 Guaporema;2;13;9;12;2;3;7;8;14;3;6;6;9;4;2;0;0;3
410920 Guaraci;5;18;14;17;12;13;28;39;28;30;26;22;19;15;15;10;13;16
410930 Guaraniaçu;6;28;38;24;20;27;44;71;57;53;41;39;44;28;15;20;20;16
410940 Guarapuava;211;987;1241;1028;930;1154;1519;1637;1573;1423;1169;929;782;695;512;452;313;361
410950 Guaraqueçaba;0;1;3;2;1;4;9;6;4;8;8;3;5;1;2;0;1;3
410960 Guaratuba;13;54;88;83;85;87;96;142;116;141;112;97;111;108;132;125;75;70
410965 Honório Serpa;5;15;21;16;13;22;28;21;21;20;16;15;9;5;1;7;4;4
410970 Ibaiti;13;42;65;57;61;45;66;95;58;79;65;58;62;45;40;31;25;23
410975 Ibema;6;13;12;12;6;17;17;12;15;18;14;12;2;8;4;2;3;3
410980 Ibiporã;92;421;516;465;350;468;625;715;706;701;563;387;341;301;270;244;179;233
410990 Icaraíma;5;31;40;27;19;28;48;49;52;45;30;23;18;17;7;5;1;6
411000 Iguaraçu;5;24;47;37;25;24;42;53;54;45;44;34;37;22;13;12;9;16
411005 Iguatu;3;3;5;2;3;8;12;9;7;4;7;6;5;4;6;0;3;8
411007 Imbaú;10;30;45;27;28;49;80;49;43;31;20;11;6;5;3;2;1;3
411010 Imbituva;10;54;43;34;33;59;85;94;85;72;42;37;47;25;25;24;23;24
411020 Inácio Martins;2;7;9;6;8;20;9;6;17;8;8;6;5;3;1;4;5;2
411030 Inajá;2;6;13;16;8;3;12;13;18;11;10;4;5;7;3;3;4;2
411040 Indianópolis;3;11;14;7;7;11;14;17;16;17;21;6;12;8;11;4;1;4
411050 Ipiranga;6;28;49;25;27;35;65;42;44;45;50;25;25;21;19;8;5;14
411060 Iporã;3;20;27;17;23;31;52;58;56;30;31;30;26;15;28;19;16;12
411065 Iracema do Oeste;1;1;2;2;3;2;7;5;4;1;2;0;4;2;3;0;0;0
411070 Irati;43;227;293;261;304;382;426;474;400;394;312;218;160;125;100;83;68;96
411080 Iretama;5;23;33;26;18;39;68;43;56;47;44;22;20;11;8;10;3;4
411090 Itaguajé;0;4;9;7;0;7;9;18;10;14;7;8;5;15;12;3;5;7
411095 Itaipulândia;8;22;13;14;16;17;45;57;43;34;14;21;20;7;5;3;3;0
411100 Itambaracá;2;16;15;13;24;23;22;29;31;30;21;14;30;23;17;10;10;19
411110 Itambé;11;48;68;47;46;65;67;87;102;72;61;71;57;40;37;43;29;33
411120 Itapejara d'Oeste;11;55;52;23;41;47;103;112;104;81;47;32;27;21;20;18;14;8
411125 Itaperuçu;21;93;97;78;72;121;135;140;126;102;78;64;33;13;9;10;2;1
411130 Itaúna do Sul;1;9;10;7;5;4;4;10;8;7;6;3;5;2;1;4;2;0
411140 Ivaí;2;12;10;11;15;18;24;21;21;21;13;9;5;12;9;6;6;5
411150 Ivaiporã;24;122;123;99;88;146;163;210;206;199;139;114;116;93;65;58;50;47
411155 Ivaté;8;69;88;79;55;55;86;120;126;79;89;66;53;19;9;4;3;2
411160 Ivatuba;5;19;31;26;19;34;43;48;44;40;25;23;22;24;19;13;10;18
411170 Jaboti;0;5;7;6;4;2;9;11;9;9;6;2;1;1;3;3;0;1
411180 Jacarezinho;29;221;275;258;202;250;253;322;418;356;253;229;204;116;108;99;69;126
411190 Jaguapitã;14;39;77;54;36;52;75;91;83;78;74;42;60;50;47;22;27;38
411200 Jaguariaíva;56;243;329;295;273;275;344;392;408;382;261;178;94;69;39;35;25;24
411210 Jandaia do Sul;25;103;136;104;95;134;213;197;216;201;153;132;138;114;113;98;93;135
411220 Janiópolis;1;14;16;17;7;9;12;18;25;18;10;9;9;5;9;3;2;6
411230 Japira;3;5;5;2;2;3;7;4;4;6;5;0;2;3;2;1;1;0
411240 Japurá;8;38;46;39;35;26;57;60;76;55;39;44;37;35;35;15;20;20
411250 Jardim Alegre;3;13;34;19;22;18;45;40;29;34;21;18;18;20;13;23;10;14
411260 Jardim Olinda;2;0;2;2;1;1;5;3;1;4;1;4;4;1;1;0;0;0
411270 Jataizinho;9;46;52;34;31;43;77;65;68;66;44;36;35;38;35;27;19;34
411275 Jesuítas;7;13;17;14;11;24;32;40;29;36;19;18;23;13;20;13;9;18
411280 Joaquim Távora;12;50;46;35;35;52;92;86;102;89;43;33;27;28;30;17;15;21
411290 Jundiaí do Sul;0;2;0;0;2;3;3;8;0;5;3;2;1;2;1;1;5;5
411295 Juranda;11;38;44;39;35;34;46;61;63;56;40;28;35;32;21;18;16;16
411300 Jussara;3;17;33;17;16;27;23;29;38;23;18;14;30;18;17;15;14;16
411310 Kaloré;2;5;10;4;1;3;16;11;13;10;12;7;4;3;6;3;3;5
411320 Lapa;22;92;148;100;105;117;185;178;201;190;137;104;99;86;69;55;44;52
411325 Laranjal;0;0;1;4;1;0;2;4;2;2;1;1;0;1;0;0;1;0
411330 Laranjeiras do Sul;15;68;102;75;70;76;109;133;129;157;96;61;55;61;58;48;29;37
411340 Leópolis;1;5;13;2;8;5;9;15;10;9;6;7;4;6;8;6;2;3
411342 Lidianópolis;1;4;6;7;3;5;10;3;5;12;4;2;2;3;1;1;1;1
411345 Lindoeste;3;18;24;10;14;8;22;27;25;12;6;8;4;4;5;4;2;3
411350 Loanda;25;89;104;82;67;65;101;128;175;136;99;100;85;88;82;66;44;64
411360 Lobato;4;26;45;29;33;32;53;55;57;55;52;46;35;38;35;14;12;26
411370 Londrina;1457;5904;7763;6610;5853;7261;9557;10704;11250;10907;9091;7098;6690;6345;5376;4602;3644;5124
411373 Luiziana;5;27;43;40;21;37;37;54;57;26;29;18;21;10;7;9;0;6
411375 Lunardelli;0;3;2;0;5;18;14;18;17;9;5;6;3;5;5;3;4;6
411380 Lupionópolis;4;9;9;11;17;15;14;17;23;20;16;19;35;17;13;11;17;18
411390 Mallet;19;79;124;108;94;104;119;163;146;141;79;45;28;11;4;6;4;8
411400 Mamborê;18;66;92;57;48;75;105;121;95;87;71;76;77;57;55;39;26;35
411410 Mandaguaçu;68;289;321;252;257;256;388;492;468;369;279;287;266;186;171;114;88;157
411420 Mandaguari;74;366;426;292;361;559;670;742;764;675;565;494;380;286;195;150;99;164
411430 Mandirituba;16;83;100;69;43;97;139;128;114;87;48;51;56;27;20;20;16;11
411435 Manfrinópolis;0;5;6;5;3;5;8;8;3;5;4;2;2;1;0;1;0;0
411440 Mangueirinha;21;78;95;71;75;99;121;139;134;100;74;66;48;35;42;30;26;15
411450 Manoel Ribas;6;26;30;26;23;20;60;54;38;31;23;21;22;16;9;6;2;8
411460 Marechal Cândido Rondon;143;681;833;635;573;768;956;1127;1031;990;855;744;684;564;492;389;328;478
411470 Maria Helena;0;10;6;2;3;6;11;12;11;10;6;3;4;9;2;2;2;0
411480 Marialva;67;377;469;397;310;402;529;646;765;615;473;411;313;297;270;245;172;237
411490 Marilândia do Sul;5;16;29;12;17;22;36;46;27;27;18;17;12;10;11;9;3;1
411500 Marilena;0;15;10;8;5;12;9;18;18;12;10;7;3;3;0;4;1;6
411510 Mariluz;5;32;32;28;19;25;34;53;40;22;34;23;14;11;5;6;5;6
411520 Maringá;1112;4854;6342;5288;4920;6061;8690;9840;10180;9351;7472;6145;6078;5265;4609;3909;3010;4332
411530 Mariópolis;6;38;59;28;28;42;45;59;63;61;36;32;31;19;23;22;13;16
411535 Maripá;13;46;50;38;29;46;49;82;64;61;53;49;52;41;31;15;17;32
411540 Marmeleiro;8;49;47;35;26;27;53;74;61;55;39;29;20;13;15;11;8;10
411545 Marquinho;0;1;1;1;0;5;2;6;2;1;1;3;1;0;0;1;2;0
411550 Marumbi;1;12;16;10;10;17;23;22;26;14;17;9;10;17;9;5;5;13
411560 Matelândia;37;122;130;93;50;109;175;203;164;114;92;80;77;42;55;44;33;41
411570 Matinhos;21;103;182;174;153;123;144;193;243;294;280;206;239;190;193;158;89;77
411573 Mato Rico;0;1;0;0;0;0;0;2;1;1;2;1;0;0;0;0;0;0
411575 Mauá da Serra;11;38;35;34;31;52;56;59;54;52;29;19;25;6;8;8;6;7
411580 Medianeira;94;425;504;431;351;464;696;780;765;617;483;436;357;288;212;163;107;149
411585 Mercedes;13;48;71;57;46;46;82;82;62;85;59;53;43;36;35;39;34;47
411590 Mirador;1;2;6;0;2;1;3;5;3;3;0;3;1;2;1;0;0;1
411600 Miraselva;4;11;8;4;6;3;10;17;8;17;7;5;10;6;8;7;4;7
411605 Missal;13;34;38;36;24;45;49;82;52;37;21;19;32;13;6;9;13;15
411610 Moreira Sales;5;34;35;44;36;23;39;50;57;50;50;41;34;26;24;13;7;9
411620 Morretes;12;39;72;50;50;41;76;77;67;75;61;44;40;29;37;36;19;33
411630 Munhoz de Melo;4;16;12;8;7;8;15;19;15;12;11;12;13;7;8;3;5;12
411640 Nossa Senhora das Graças;1;7;6;8;4;10;10;8;8;7;10;11;6;3;3;6;1;1
411650 Nova Aliança do Ivaí;0;4;2;2;2;1;5;2;5;2;4;4;3;0;0;2;1;2
411660 Nova América da Colina;1;10;4;3;5;3;8;5;5;5;4;4;4;1;2;2;1;2
411670 Nova Aurora;17;86;101;62;67;83;124;171;111;98;107;84;83;58;54;51;44;64
411680 Nova Cantu;7;19;10;13;15;14;25;26;35;16;10;29;16;18;11;10;10;10
411690 Nova Esperança;44;173;213;191;166;220;266;297;332;321;295;233;262;237;214;197;148;201
411695 Nova Esperança do Sudoeste;0;10;14;13;8;11;11;18;10;12;9;10;9;1;1;1;1;1
411700 Nova Fátima;4;14;20;13;14;19;33;31;32;25;17;15;24;13;16;11;14;10
411705 Nova Laranjeiras;4;6;3;2;2;3;7;10;6;8;4;5;5;0;0;4;2;3
411710 Nova Londrina;11;35;51;55;52;56;68;97;76;86;74;55;52;47;40;46;35;46
411720 Nova Olímpia;2;13;10;7;7;10;21;29;11;16;16;13;9;6;4;1;2;1
411721 Nova Santa Bárbara;4;15;10;14;7;3;13;14;12;13;9;7;6;6;1;2;5;10
411722 Nova Santa Rosa;22;75;122;69;66;85;131;142;129;103;77;77;77;64;51;50;47;69
411725 Nova Prata do Iguaçu;6;16;15;8;6;20;36;39;32;19;15;13;21;8;4;5;4;6
411727 Nova Tebas;1;6;6;5;2;7;10;18;6;10;6;1;4;2;3;3;0;0
411729 Novo Itacolomi;2;6;6;4;3;5;8;7;6;5;9;6;1;4;1;3;1;0
411730 Ortigueira;16;48;71;50;82;87;116;92;79;56;51;25;19;17;15;14;4;10
411740 Ourizona;3;22;31;28;22;33;41;41;41;36;28;32;32;27;17;16;20;27
411745 Ouro Verde do Oeste;10;49;59;46;55;55;62;80;74;66;69;64;45;23;26;15;14;20
411750 Paiçandu;80;404;518;357;325;447;627;725;717;591;477;418;339;323;239;217;147;207
411760 Palmas;36;181;224;190;187;185;267;288;313;288;212;149;108;101;94;71;43;64
411770 Palmeira;25;142;191;137;133;152;193;214;222;199;135;98;73;64;63;58;39;68
411780 Palmital;5;13;20;11;17;10;21;27;27;12;14;11;11;12;8;8;2;4
411790 Palotina;58;263;338;238;163;281;409;425;433;419;285;254;234;216;144;127;97;136
411800 Paraíso do Norte;23;83;97;81;68;76;124;117;136;106;101;101;82;67;62;49;31;38
411810 Paranacity;13;72;98;85;68;52;99;108;131;120;107;93;75;68;20;29;27;35
411820 Paranaguá;275;1321;1727;1634;1584;1734;2012;2024;1968;2010;1721;1422;1169;934;630;410;309;343
411830 Paranapoema;3;5;9;15;7;2;9;5;9;8;6;4;1;3;2;0;1;1
411840 Paranavaí;144;655;811;726;574;625;942;1071;1224;1065;805;673;602;580;468;394;301;428
411845 Pato Bragado;9;56;63;46;37;52;59;79;72;78;38;38;30;20;28;24;25;25
411850 Pato Branco;178;803;1030;913;726;1016;1556;1755;1736;1534;1052;824;736;750;654;492;351;456
411860 Paula Freitas;1;8;10;6;9;16;20;27;18;15;9;5;5;2;3;4;0;1
411870 Paulo Frontin;5;13;5;7;3;12;22;24;11;5;8;5;1;4;2;0;4;1
411880 Peabiru;17;73;78;60;57;63;103;119;112;104;72;52;62;59;39;31;30;34
411885 Perobal;7;26;18;10;16;15;24;39;28;12;15;10;4;2;7;5;0;2
411890 Pérola;2;19;25;8;9;23;20;42;41;24;10;15;18;20;12;13;18;17
411900 Pérola d'Oeste;0;6;2;2;1;11;12;12;20;4;5;3;1;4;3;2;5;3
411910 Piên;13;46;58;34;49;73;85;89;74;70;53;26;12;11;5;8;2;1
411915 Pinhais;234;1182;1533;1527;1421;1699;1991;2265;2312;2402;1931;1441;1146;804;611;436;276;291
411920 Pinhalão;2;10;8;4;3;8;7;8;10;10;9;4;3;1;7;4;1;4
411925 Pinhal de São Bento;0;1;0;1;3;3;2;1;0;1;0;0;0;0;0;0;0;0
411930 Pinhão;7;30;47;37;39;45;64;53;55;60;29;40;26;25;20;13;6;13
411940 Piraí do Sul;21;115;151;128;148;142;182;193;180;152;142;103;66;62;51;25;21;30
411950 Piraquara;112;587;862;790;689;842;977;1130;1182;1046;724;554;422;272;154;116;86;89
411960 Pitanga;15;63;71;65;65;82;99;130;127;102;71;64;51;57;33;26;18;36
411965 Pitangueiras;2;9;8;2;4;6;9;16;10;7;8;6;5;2;3;4;1;1
411970 Planaltina do Paraná;1;10;13;7;4;5;14;14;22;9;12;7;16;14;10;4;7;11
411980 Planalto;3;20;14;8;7;17;23;30;28;21;18;9;7;11;6;4;4;3
411990 Ponta Grossa;613;2938;3800;3384;3118;3634;4883;5357;5194;4926;3764;2783;2240;1847;1423;1194;921;1242
411995 Pontal do Paraná;10;47;82;97;62;73;100;96;144;135;98;77;74;78;80;87;34;40
412000 Porecatu;10;33;53;43;42;53;71;81;65;75;63;66;73;56;50;72;56;61
412010 Porto Amazonas;1;13;13;8;13;12;17;16;18;16;11;11;8;7;5;8;2;7
412015 Porto Barreiro;2;4;3;4;1;3;3;5;4;5;0;0;1;2;1;1;0;0
412020 Porto Rico;1;6;6;6;3;8;10;18;10;13;13;0;6;2;3;2;2;3
412030 Porto Vitória;0;2;1;0;0;5;5;10;3;5;1;1;2;4;0;1;1;1
412033 Prado Ferreira;4;10;18;12;6;16;16;22;20;21;13;6;5;6;6;5;1;3
412035 Pranchita;1;4;9;3;4;7;13;16;10;14;8;8;5;2;7;9;1;2
412040 Presidente Castelo Branco;9;22;38;37;27;33;43;56;45;41;54;35;26;14;23;14;13;12
412050 Primeiro de Maio;14;43;62;52;31;49;71;86;88;66;48;50;69;57;57;37;27;42
412060 Prudentópolis;16;67;77;49;66;98;149;140;130;114;75;52;50;43;43;39;31;28
412065 Quarto Centenário;5;13;19;9;8;16;21;23;20;16;5;14;15;5;1;2;1;2
412070 Quatiguá;6;27;34;17;14;17;32;48;35;19;13;11;14;15;8;14;7;4
412080 Quatro Barras;49;216;382;328;305;320;373;417;436;461;332;213;165;122;78;47;36;43
412085 Quatro Pontes;9;55;70;51;48;55;76;96;92;82;56;55;59;66;35;32;35;54
412090 Quedas do Iguaçu;16;100;106;107;82;93;112;153;146;132;106;86;73;60;47;39;26;23
412100 Querência do Norte;3;20;17;15;13;13;29;31;18;26;23;14;27;12;6;6;8;8
412110 Quinta do Sol;6;16;18;18;17;19;24;36;38;19;29;28;24;20;9;9;14;13
412120 Quitandinha;3;33;38;19;22;38;61;47;39;26;28;14;11;15;14;7;8;4
412125 Ramilândia;3;9;19;8;5;10;21;20;14;6;8;10;0;3;0;0;2;1
412130 Rancho Alegre;2;6;11;6;6;14;15;14;17;18;8;7;10;12;7;9;10;15
412135 Rancho Alegre D'Oeste;2;8;13;12;13;8;12;20;13;12;6;13;13;2;6;4;5;3
412140 Realeza;10;64;65;39;35;49;72;97;89;78;41;40;41;34;33;28;27;28
412150 Rebouças;0;15;21;26;29;38;29;33;31;30;17;12;8;6;5;4;7;6
412160 Renascença;4;6;13;8;13;9;22;31;34;18;14;16;16;11;2;5;13;8
412170 Reserva;6;49;58;42;42;48;70;80;66;53;31;33;25;12;15;11;9;3
412175 Reserva do Iguaçu;2;7;10;11;10;10;11;17;20;15;15;9;7;3;4;1;0;4
412180 Ribeirão Claro;2;25;25;20;15;49;52;45;64;58;43;21;28;20;19;10;14;20
412190 Ribeirão do Pinhal;13;33;38;31;35;41;54;65;51;40;35;37;32;23;21;30;19;29
412200 Rio Azul;5;30;34;26;24;49;63;49;51;40;24;10;6;5;10;4;3;0
412210 Rio Bom;0;7;3;5;2;3;9;11;5;5;3;8;8;2;4;2;5;7
412215 Rio Bonito do Iguaçu;0;6;0;0;1;7;10;12;12;6;3;3;2;3;2;0;0;1
412217 Rio Branco do Ivaí;2;4;5;3;2;3;5;8;4;6;2;4;3;0;0;0;0;0
412220 Rio Branco do Sul;29;184;210;164;157;206;229;242;245;214;202;112;101;71;44;32;11;15
412230 Rio Negro;25;95;121;125;106;126;147;146;190;147;148;113;97;63;74;69;59;73
412240 Rolândia;78;390;553;454;394;474;699;723;800;768;637;503;462;380;351;312;255;364
412250 Roncador;10;32;32;32;25;24;29;40;38;37;19;22;22;18;14;6;6;6
412260 Rondon;10;52;57;66;30;30;75;66;60;67;62;67;57;34;18;10;9;9
412265 Rosário do Ivaí;2;3;4;2;3;4;11;3;10;4;3;0;3;3;1;2;0;1
412270 Sabáudia;3;19;22;11;18;16;30;45;28;24;21;21;11;18;15;7;8;11
412280 Salgado Filho;2;4;10;4;3;7;10;6;8;7;1;3;1;2;0;1;1;1
412290 Salto do Itararé;0;3;4;1;4;1;3;2;7;4;1;1;0;4;3;3;2;0
412300 Salto do Lontra;6;23;27;22;18;26;33;54;37;28;18;15;13;11;9;5;5;6
412310 Santa Amélia;1;6;8;7;3;6;15;12;8;10;3;6;9;9;10;12;4;4
412320 Santa Cecília do Pavão;4;14;12;8;11;8;13;11;10;9;10;7;5;9;7;4;6;6
412330 Santa Cruz de Monte Castelo;6;20;30;18;15;14;24;39;36;27;17;25;17;14;14;14;7;14
412340 Santa Fé;13;57;79;48;63;49;78;92;100;91;95;68;68;60;66;40;26;49
412350 Santa Helena;23;98;128;83;37;87;163;217;170;146;104;76;58;56;33;37;25;27
412360 Santa Inês;0;5;5;8;5;10;7;7;15;10;16;15;8;8;4;5;10;5
412370 Santa Isabel do Ivaí;4;19;19;25;20;19;30;31;46;28;31;21;17;24;24;15;13;22
412380 Santa Izabel do Oeste;1;13;17;13;13;8;28;16;28;27;22;19;21;20;28;18;18;16
412382 Santa Lúcia;2;3;6;6;2;7;14;14;7;6;12;4;2;4;5;3;1;2
412385 Santa Maria do Oeste;0;10;5;9;5;9;14;11;11;5;4;3;7;4;2;0;0;6
412390 Santa Mariana;5;45;37;23;28;27;36;58;63;47;32;30;34;39;31;17;21;40
412395 Santa Mônica;3;6;11;14;3;4;8;10;14;12;12;6;6;6;4;1;4;4
412400 Santana do Itararé;0;3;5;3;5;3;7;10;15;9;6;4;2;3;7;3;1;1
412402 Santa Tereza do Oeste;30;76;76;49;31;68;82;111;91;79;62;42;44;16;21;19;10;14
412405 Santa Terezinha de Itaipu;21;126;122;90;78;114;138;200;191;188;100;82;91;56;54;43;18;31
412410 Santo Antônio da Platina;62;281;354;249;313;396;412;393;401;356;238;187;151;144;105;92;79;116
412420 Santo Antônio do Caiuá;0;7;11;4;3;0;15;8;13;8;10;4;3;7;2;1;1;3
412430 Santo Antônio do Paraíso;1;3;4;2;4;4;6;8;7;4;3;6;5;0;2;0;0;2
412440 Santo Antônio do Sudoeste;2;18;16;9;9;26;34;45;40;20;17;13;15;15;21;13;10;6
412450 Santo Inácio;2;16;24;10;11;14;18;26;33;25;21;32;14;18;10;11;6;11
412460 São Carlos do Ivaí;3;31;35;21;30;36;43;61;40;47;26;32;29;23;15;7;9;21
412470 São Jerônimo da Serra;3;12;16;16;15;18;14;22;22;19;11;7;6;13;14;3;11;8
412480 São João;11;51;65;54;40;53;90;113;94;91;54;46;58;37;25;30;21;18
412490 São João do Caiuá;1;18;18;14;10;7;14;19;13;25;20;15;9;12;9;11;6;7
412500 São João do Ivaí;4;31;31;36;26;38;44;39;64;56;39;27;31;24;29;20;13;19
412510 São João do Triunfo;1;8;10;3;9;11;21;28;17;10;13;8;10;7;4;9;5;5
412520 São Jorge d'Oeste;13;35;33;14;10;23;38;66;55;35;26;24;20;21;6;8;11;13
412530 São Jorge do Ivaí;7;37;39;51;48;47;56;75;80;61;61;64;77;60;42;35;39;53
412535 São Jorge do Patrocínio;0;3;3;4;0;2;7;5;3;7;1;2;1;3;1;1;1;2
412540 São José da Boa Vista;1;3;4;3;4;7;4;10;2;7;6;0;5;8;4;1;2;2
412545 São José das Palmeiras;0;20;19;12;23;24;17;23;25;30;16;14;6;6;4;4;1;1
412550 São José dos Pinhais;754;3400;4689;4169;3899;4511;5672;6497;7111;6700;4984;3405;2412;1665;1309;986;633;620
412555 São Manoel do Paraná;0;6;5;2;1;1;3;5;13;9;6;1;1;1;1;0;1;1
412560 São Mateus do Sul;42;136;213;223;200;189;226;280;296;315;236;190;135;103;104;108;50;62
412570 São Miguel do Iguaçu;36;168;202;141;101;153;228;284;289;188;124;93;89;73;61;57;28;30
412575 São Pedro do Iguaçu;8;40;47;44;35;37;52;74;56;67;46;27;27;20;32;10;16;12
412580 São Pedro do Ivaí;7;54;41;38;35;52;61;94;76;66;60;29;45;40;30;20;24;27
412590 São Pedro do Paraná;2;1;1;1;3;1;1;4;3;3;3;1;3;3;4;3;8;6
412600 São Sebastião da Amoreira;2;20;26;21;21;27;39;50;40;27;25;26;28;16;14;23;27;28
412610 São Tomé;3;22;24;22;14;17;24;28;29;29;34;23;26;18;11;5;5;5
412620 Sapopema;1;11;12;14;8;11;14;11;9;24;12;8;8;7;4;3;5;0
412625 Sarandi;221;999;1075;778;686;926;1481;1658;1439;1185;895;693;551;337;313;247;166;191
412627 Saudade do Iguaçu;3;4;11;7;8;7;11;16;9;18;5;3;4;0;2;1;1;0
412630 Sengés;3;27;25;38;32;31;25;38;37;29;22;6;6;11;9;5;5;6
412635 Serranópolis do Iguaçu;5;16;17;17;19;18;45;43;25;22;16;20;13;11;8;6;12;11
412640 Sertaneja;5;12;17;20;12;16;23;29;29;24;21;11;15;18;20;20;11;21
412650 Sertanópolis;25;114;166;117;105;125;196;200;195;182;159;125;173;119;105;91;77;119
412660 Siqueira Campos;16;68;84;80;55;64;90;93;120;98;70;53;50;53;28;22;16;15
412665 Sulina;2;7;7;6;9;12;16;10;9;13;4;2;1;1;1;0;0;0
412667 Tamarana;12;44;36;39;32;39;52;60;54;48;39;27;34;22;11;17;13;13
412670 Tamboara;4;19;22;17;14;16;31;38;31;22;18;15;13;10;5;3;5;5
412680 Tapejara;15;76;127;92;98;77;118;144;119;109;130;119;86;48;33;13;8;9
412690 Tapira;5;11;11;10;5;16;17;19;18;12;7;5;3;4;6;3;1;5
412700 Teixeira Soares;2;14;21;12;14;20;30;29;27;15;13;10;13;14;11;10;7;7
412710 Telêmaco Borba;147;689;1040;1001;901;1157;1264;1349;1353;1208;846;513;369;215;107;66;32;51
412720 Terra Boa;12;61;70;58;38;58;82;86;85;81;52;59;56;48;41;40;20;44
412730 Terra Rica;19;100;138;128;75;93;109;179;153;137;117;80;82;50;46;28;12;37
412740 Terra Roxa;20;82;77;49;31;51;85;125;99;72;64;43;41;43;36;40;28;32
412750 Tibagi;9;37;55;46;51;45;74;82;81;69;62;44;35;20;28;23;6;6
412760 Tijucas do Sul;9;45;54;28;25;51;79;73;71;65;42;26;22;19;11;9;10;8
412770 Toledo;392;1849;2398;2144;1918;2441;3145;3616;3567;3184;2586;2114;1939;1407;1061;774;563;807
412780 Tomazina;1;9;11;5;7;7;18;14;24;15;6;7;17;12;5;8;4;10
412785 Três Barras do Paraná;5;40;48;30;15;23;48;66;54;56;24;17;18;17;10;6;1;8
412788 Tunas do Paraná;0;5;8;2;6;5;7;12;5;4;5;0;10;2;5;3;1;0
412790 Tuneiras do Oeste;3;15;27;15;10;20;31;26;23;17;14;10;13;4;5;2;3;7
412795 Tupãssi;12;42;68;36;46;54;73;77;92;64;57;55;50;42;45;33;21;29
412796 Turvo;16;62;72;55;60;76;91;91;74;60;27;23;11;6;4;0;2;3
412800 Ubiratã;59;200;246;195;158;201;270;310;334;260;239;225;231;180;148;140;106;144
412810 Umuarama;140;577;749;578;451;590;780;1058;1070;893;697;509;514;432;379;315;246;282
412820 União da Vitória;52;187;213;166;146;275;418;455;396;362;265;204;173;137;121;108;85;131
412830 Uniflor;1;10;11;5;6;9;16;15;12;12;7;14;7;2;6;6;4;5
412840 Uraí;6;43;41;38;27;32;49;64;67;48;44;38;42;53;45;46;41;52
412850 Wenceslau Braz;10;51;56;43;45;48;58;71;64;61;45;31;30;25;21;17;17;20
412853 Ventania;1;10;17;17;7;9;24;21;15;10;8;12;3;4;2;2;1;1
412855 Vera Cruz do Oeste;3;34;45;37;35;47;63;69;65;58;47;43;45;26;24;16;12;18
412860 Verê;8;29;23;16;14;21;41;43;35;24;7;9;13;15;6;4;4;3
412862 Alto Paraíso;3;2;3;3;2;1;7;5;5;1;8;2;2;2;3;1;0;0
412863 Doutor Ulysses;2;4;7;4;1;2;3;6;4;3;2;0;2;1;0;0;0;1
412865 Virmond;2;1;1;4;0;3;8;3;5;7;0;2;3;2;1;0;0;0
412870 Vitorino;12;71;60;49;39;65;127;129;92;78;43;34;17;30;20;15;17;21
412880 Xambrê;0;4;9;1;5;11;10;8;5;8;2;5;7;5;3;0;2;4
420005 Abdon Batista;9;20;19;16;14;21;27;35;41;18;19;22;12;5;0;0;2;0
